rank,feature_index,abs_coef
1,447,4.293702563145624
2,260,4.242849541366327
3,801,4.000540950589473
4,36,3.9847566736038393
5,611,3.9311596795045665
6,197,3.8453788419126456
7,309,3.8450366037310486
8,84,3.6793148149921833
9,141,3.5085532234845367
10,972,3.4718024884630645
11,932,3.4156652179767724
12,646,3.407536113230884
13,733,3.286829497139937
14,433,3.251904073707889
15,598,3.245658967787449
16,71,3.230343625790205
17,228,3.2122072363505674
18,663,3.187586522461458
19,512,3.1130470945205557
20,406,3.090256354499682
