rank,feature_index,importance
1,86,0.012177738270707427
2,412,0.011076733410116418
3,900,0.010066739845972048
4,909,0.008082505061005957
5,472,0.007774039543939447
6,395,0.007455216412826559
7,514,0.00678078257676273
8,748,0.006203690599535671
9,38,0.005995696167335799
10,312,0.005271207186965982
11,965,0.004733066440804813
12,192,0.004444194764057644
13,462,0.00444197389725123
14,21,0.004252448674346103
15,460,0.004017158770148167
16,296,0.0039042363748395155
17,197,0.0038358376932936455
18,109,0.0036213968899010724
19,380,0.003518763771839776
20,51,0.0034555356543612722
