gene,importance
ESR1,0.01100760111718995
UBE2T,0.008430240124534926
SPDEF,0.008258652229481593
TFF3,0.007075557740853122
IL6ST,0.006907893822907311
FOXC1,0.0065715575282182855
SFRP1,0.006438803055729606
AR,0.0059759126111300475
SLC39A6,0.005966267173103786
EXO1,0.00591358416677312
GATA3,0.005874508465510484
MLPH,0.005728406765690127
AGR2,0.005703723993116911
AURKA,0.00547390922638226
ASF1B,0.005449315465322738
KIF2C,0.005419807631277397
CDCA8,0.00530764439236307
CCNB2,0.005215164584784406
SPC25,0.005092667316044196
CENPA,0.004988073327368735
SPRY2,0.004987386421429547
TPX2,0.00496518836804084
SLC22A5,0.004947839489586721
KIF4A,0.004944612059532631
SPAG5,0.004893752170558512
BUB1,0.004704681696721017
CDKN3,0.004668596726659122
LMNB1,0.004610499480248779
SIDT1,0.004515526459767951
GINS1,0.0045063123318149975
GREB1,0.004420283898925708
TPM3,0.004396566341252911
KIF20A,0.004372298843930501
PGR,0.004323260538499019
XBP1,0.0042849074665964075
UBE2C,0.004270502087987051
MMP11,0.00420739986353274
BIRC5,0.004182695346010293
MYH11,0.0041354182594932586
RAD54L,0.004098305913047728
NEK2,0.004070765789189656
MATN2,0.004060085006598758
CDK1,0.00395240023978173
NDC80,0.003871931341454394
MRAS,0.0038626275274952606
MAML2,0.003790886552751994
KIF11,0.003782672942787958
CDCA3,0.0037055028610504977
PLK1,0.003672172683266782
MYBL2,0.003584438829363421
SOX10,0.0035655979597985633
ITIH5,0.00356260533489671
THSD4,0.003561311483524729
TROAP,0.003558429151105481
KPNA2,0.0035573563182256236
KCNK5,0.0035562132032653463
RAD51,0.0035460091801921834
CCNA2,0.003542055270030086
KCNK15,0.003532045972890799
CENPF,0.0035125724845254695
ELOVL2,0.003418206400806549
SPARCL1,0.0034137888495702914
PMAIP1,0.0033851563887306504
NCAPH,0.003357078036924469
KIF18B,0.003340809656635235
NR3C2,0.0033250035571005428
ADAMTS5,0.003296852557758749
MCCC2,0.003174480999163434
CA4,0.0031546757158981654
TRIM29,0.0031517196662327407
KIF23,0.0031499937861099174
TMBIM6,0.0031242094960605184
DSC2,0.00304478469332588
ASB13,0.0030225415028926517
IGF1R,0.0030016636265059516
MYOM1,0.0029872956706921755
POLQ,0.002921698488694623
RACGAP1,0.002901544663747458
IL33,0.002897406970480521
SCUBE2,0.0028438154892093137
MELK,0.002802372746460892
EGFR,0.0027730179708877743
EZH1,0.00276285679014111
WWP1,0.0027606806007792572
