gene,importance
ESR1,0.01100760111718995
UBE2T,0.008430240124534926
SPDEF,0.008258652229481593
TFF3,0.007075557740853122
IL6ST,0.006907893822907311
FOXC1,0.0065715575282182855
SFRP1,0.006438803055729606
AR,0.0059759126111300475
SLC39A6,0.005966267173103786
EXO1,0.00591358416677312
GATA3,0.005874508465510484
MLPH,0.005728406765690127
AGR2,0.005703723993116911
AURKA,0.00547390922638226
ASF1B,0.005449315465322738
KIF2C,0.005419807631277397
CDCA8,0.00530764439236307
CCNB2,0.005215164584784406
SPC25,0.005092667316044196
CENPA,0.004988073327368735
