,importance
ESR1,0.051654083022224316
FOXC1,0.0513261541710109
MLPH,0.03737136799455268
UBE2T,0.03117602087707786
SPDEF,0.03095832500762473
TPX2,0.0276345363141636
TFF3,0.02733812177572229
IL6ST,0.027170983504968563
MMP11,0.026316602918013784
AURKA,0.02625564697752236
NEK2,0.025397023785171488
CDK1,0.023665328263537493
BUB1,0.02356693294957155
SLC39A6,0.023030091353213027
SPAG5,0.022594956519168798
SFRP1,0.02209794611420844
AGR2,0.019836563180706746
CDCA8,0.01968841278067959
THSD4,0.01925899861805999
GATA3,0.01759109322078069
